SoundRoomTable,songNumber,songLength,displayCondition,songName
0xA20E74_0x45,32_h,32_d,32_p,32_h
0,0x1,2640,0x0,0x78b
1,0x2,5880,0x0,0x78c
2,0x3,4140,0x0,0x78d
3,0x4,3720,0x0,0x78e
4,0x5,4560,0x0,0x78f
5,0x6,4440,0x0,0x790
6,0x7,3840,0x0,0x791
7,0x8,3900,0x0,0x792
8,0x9,6420,0x0,0x793
9,0xa,5640,0x0,0x794
10,0xb,4980,0x0,0x795
11,0xc,4560,0x0,0x796
12,0xd,5820,0x0,0x797
13,0xe,4680,0x0,0x798
14,0xf,3840,0x0,0x799
15,0x10,2460,0x0,0x79a
16,0x12,4980,0x0,0x79b
17,0x11,5640,0x0,0x79c
18,0x13,2820,0x0,0x79d
19,0x14,5100,0x0,0x79e
20,0x15,4380,0x0,0x79f
21,0x16,4440,0x0,0x7a0
22,0x17,4440,0x0,0x7a1
23,0x18,4980,0x0,0x7a2
24,0x19,1500,0x0,0x7a3
25,0x1a,1680,0x0,0x7a4
26,0x1b,1680,0x0,0x7a5
27,0x1c,1440,0x0,0x7a6
28,0x1d,2040,0x0,0x7a7
29,0x1e,3840,0x0,0x7a8
30,0x1f,660,0x0,0x7a9
31,0x20,1440,0x0,0x7aa
32,0x21,840,0x0,0x7ab
33,0x22,660,0x0,0x7ac
34,0x23,1800,0x0,0x7ad
35,0x24,3180,0x0,0x7ae
36,0x25,2040,0x0,0x7af
37,0x26,2520,0x0,0x7b0
38,0x27,2700,0x0,0x7b1
39,0x28,2940,0x0,0x7b2
40,0x29,3180,0x0,0x7b3
41,0x2a,2160,0x0,0x7b4
42,0x2b,4200,0x0,0x7b5
43,0x2c,2880,0x0,0x7b6
44,0x2d,3720,0x0,0x7b7
45,0x44,3900,0x0,0x7b8
46,0x45,2880,0x0,0x7b9
47,0x2e,3300,0x0,0x7ba
48,0x2f,3420,0x0,0x7bb
49,0x30,2160,0x0,0x7bc
50,0x31,3120,0x0,0x7bd
51,0x32,2220,0x0,0x7be
52,0x33,3960,0x0,0x7bf
53,0x34,3960,0x0,0x7c0
54,0x35,1260,0x0,0x7c1
55,0x36,1080,0x0,0x7c2
56,0x37,900,0x0,0x7c3
57,0x38,2520,0x0,0x7c4
58,0x39,1740,0x0,0x7c5
59,0x3a,360,0x0,0x7c6
60,0x3b,1320,0x0,0x7c7
61,0x3c,420,0x0,0x7c8
62,0x3d,420,0x0,0x7c9
63,0x3e,2160,0x0,0x7ca
64,0x3f,1620,0x0,0x7cb
65,0x40,2760,0x0,0x7cc
66,0x41,6240,0x0,0x7cd
67,0x42,9120,0x0,0x7ce
68,0x46,9360,0x0,0x7cf
69,TheFragranceOfBlackCoffee_Song,0,0x0,TheFragranceOfBlackCoffee_Name
70,WoWTavern_Song,0,0x0,WoWTavern_Name
71,ActraiserFillmore_Song,0,0x0,ActraiserFillmore_Name
72,Adversity_Song,0,0x0,Adversity_Name
73,AKnightsOath_Song,0,0x0,AKnightsOath_Name
74,AllyAttackFE4_Song,0,0x0,AllyAttackFE4_Name
75,AlmEnemyPhase_Song,0,0x0,AlmEnemyPhase_Name
76,AlmMap1_Song,0,0x0,AlmMap1_Name
77,ArenaFE5_Song,0,0x0,ArenaFE5_Name
78,ArmyOfLeif_Song,0,0x0,ArmyOfLeif_Name
79,AttackFE3_Song,0,0x0,AttackFE3_Name
80,BabiLighthouse_Song,0,0x0,BabiLighthouse_Name
81,BattleToadsDoubleDragonLevel1_Song,0,0x0,BattleToadsDoubleDragonLevel1_Name
82,Leon_Song,0,0x0,Leon_Name
83,BelieveInMyselfSA2B_Song,0,0x0,BelieveInMyselfSA2B_Name
84,BossDoorOpens_Song,0,0x0,BossDoorOpens_Name
85,CelicaMap2_Song,0,0x0,CelicaMap2_Name
86,ChaseOfShadow_Song,0,0x0,ChaseOfShadow_Name
87,ChineseTea_Song,0,0x0,ChineseTea_Name
88,ConfidenceInTheDomination_Song,0,0x0,ConfidenceInTheDomination_Name
89,CorridorsOfTime_Song,0,0x0,CorridorsOfTime_Name
90,DefendFE5_Song,0,0x0,DefendFE5_Name
91,DelfinoPlaza_Song,0,0x0,DelfinoPlaza_Name
92,Destiny_Song,0,0x0,Destiny_Name
93,DistantTravels_Song,0,0x0,DistantTravels_Name
94,EldiganTheLionheart_Song,0,0x0,EldiganTheLionheart_Name
95,EndingRippleIsland_Song,0,0x0,EndingRippleIsland_Name
96,EndlessBattle_Song,0,0x0,EndlessBattle_Name
97,EvergrandeCity_Song,0,0x0,EvergrandeCity_Name
98,FE5SearchingForEnemy_Song,0,0x0,FE5SearchingForEnemy_Name
99,FE5Sortie_Song,0,0x0,FE5Sortie_Name
100,FE6Attack_Song,0,0x0,FE6Attack_Name
101,FFMQBattle1_Song,0,0x0,FFMQBattle1_Name
102,FightingOfTheSpirit_Song,0,0x0,FightingOfTheSpirit_Name
103,FirstStepTowardsWar_Song,0,0x0,FirstStepTowardsWar_Name
104,FivePmACNH_Song,0,0x0,FivePmACNH_Name
105,ForwardFE5_Song,0,0x0,ForwardFE5_Name
